"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"18.28571",355.361703616253,295.870283669904,414.853123562603,264.37742829024,446.345978942266
"18.42857",338.173343581224,278.377021339544,397.969665822904,246.722760434505,429.623926727943
"18.57143",303.30815832346,242.151783877211,364.46453276971,209.777554825069,396.838761821852
"18.71429",224.320187908872,162.11025149892,286.530124318824,129.178300432641,319.462075385103
"18.85714",226.858168748523,163.798465702023,289.917871795024,130.416675351097,323.29966214595
"19.00000",351.990714931408,288.25556130732,415.725868555496,254.516209019307,449.465220843509
"19.14286",341.48711766683,277.213819661021,405.760415672638,243.189590945413,439.784644388247
"19.28571",361.491585934659,294.777533594609,428.205638274708,259.461247581749,463.521924287569
"19.42857",343.023582584547,275.86325336273,410.183911806364,240.310722639128,445.736442529965
"19.57143",307.659635439744,239.996224396392,375.323046483096,204.177378243372,411.141892636116
"19.71429",228.224192037445,160.178762285951,296.269621788939,124.157687644542,332.290696430348
"19.85714",230.360714626308,161.993704468836,298.727724783781,125.802395443586,334.919033809031
"20.00000",355.133085487884,286.508610508946,423.757560466823,250.18100784009,460.085163135679
"20.14286",344.306350607314,275.475690692089,413.137010522539,239.038940311079,449.573760903549
