"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"18.28571",274.268292093224,224.780476986045,323.756107200403,198.583210125858,349.953374060589
"18.42857",289.9449409038,237.628496265961,342.26138554164,209.933843382512,369.956038425089
"18.57143",316.541022976194,259.425690670159,373.656355282229,229.190660107811,403.891385844577
"18.71429",313.789701000198,257.170801236809,370.408600763588,227.198566188257,400.380835812139
"18.85714",245.14006841509,200.908015620786,289.372121209393,177.492981267045,312.787155563134
"19.00000",278.458401133149,228.214518731034,328.702283535263,201.617014021455,355.299788244843
"19.14286",257.871596564554,211.342301664437,304.40089146467,186.711180798124,329.032012330983
"19.28571",275.011161090345,225.389080417059,324.633241763631,199.120737659547,350.901584521143
"19.42857",290.709901077333,238.25517461635,343.164627538316,210.487319757526,370.932482397139
"19.57143",317.354498807196,260.092085650108,374.616911964284,229.779195188374,404.929802426018
"19.71429",314.57520659562,257.814251556631,371.336161634609,227.766816987638,401.383596203603
"19.85714",245.737826291072,201.397644681351,290.078007900793,177.925370390331,313.550282191812
"20.00000",279.119819240149,228.756259537731,329.483378942567,202.095401492256,356.144236988041
"20.14286",258.468258379996,211.830970606942,305.10554615305,187.142681766954,329.793834993038
